BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
2450744,10083152834,acdvd,nadvd,DVD MIGHTY,01-02-2017 09:33
3148776,10089143415,acbk,cafic,FIC JOHNSON 2016,01-02-2017 09:33
3015546,10082942367,accd,nabocd,CD MYSTERY FRENCH,01-02-2017 09:33
3172504,10087686555,acdvd,cadvd,DVD FORTY-F,01-02-2017 09:33
2614204,10069430618,accd,nabocd,CD FIC MACOMBE,01-02-2017 09:33
2918565,10080878050,accd,cabocd,CD FIC SPARKS,01-02-2017 09:33
2839103,10076862860,acbk,calpfic,FIC MILLER 2012,01-02-2017 09:37
3148636,10087053061,acbk,nanf,616.042 M8968G 2016,01-02-2017 09:37
3082276,10059309418,acbk,calpfic,WESTERN BRANDT 2015,01-02-2017 09:37
3111794,10086117834,acbk,calpfic,MYSTERY DAHEIM 2015,01-02-2017 09:40
3056832,10084349207,acbk,calpfic,FIC HURWITZ 2014,01-02-2017 09:40
2758503,10075396027,acbk,calpfic,FIC ANDREWS 2012,01-02-2017 09:40
3091048,10086370458,acbk,calpfic,FIC LILLARD 2015,01-02-2017 09:40
2303301,10039993117,acbk,cs1malf,FIC ISHIGUR2005,01-02-2017 09:40
2959038,10082023127,acbk,calpfic,FIC GRIFFIN 2014,01-02-2017 09:43
3165661,10088107494,acbk,calpfic,MYSTERY JANCE 2016,01-02-2017 09:43
2839268,10076863058,acbk,calpfic,FIC DEVERAU 2012,01-02-2017 09:45
3182947,10087642988,acbk,calpfic,FIC HAMER 2016,01-02-2017 09:45
2883332,10079944517,acbk,calpfic,FIC SCOTTOL 2013,01-02-2017 09:46
2969839,10082163162,acbk,calpfic,FIC COOK 2014,01-02-2017 09:46
3089601,10085145612,acbk,camys,MYSTERY KELLER 2015,01-02-2017 09:46
3125681,10054488969,acbk,calpfic,FIC ARMSTRO 2015,01-02-2017 09:46
1742223,10032809773,acbk,canf,070.4333 TOBIN 1997,01-02-2017 09:47
1698155,100153550,acbk,cs9,B M278Wab,01-02-2017 09:47
170113,102353471,acbk,cab,B W686Ab,01-02-2017 09:47
3173410,10087076823,acbk,cafic,FIC CLARK 2016,01-02-2017 09:50
3170606,10088398531,acbk,calpnf,305.8924 Sch38B 2016,01-02-2017 09:58
3110996,10085441185,acbk,calpfic,FIC MELTZER 2015,01-02-2017 09:58
2314758,10070675805,acbk,nanf,581.9795 K8498P 2005,01-02-2017 11:00
3214365,10087957451,acbk,nanf,647.95797 H7115F 2016,01-02-2017 11:00
1706271,10081543836,acbk,namys,MYSTERY EVANOVI 1997,01-02-2017 11:00
2873070,10079881222,accd,cacd,CD 782.421642 M9729S,01-02-2017 11:00
3083954,10086038790,jcbk,ccpic,E KANN,01-02-2017 11:00
2852152,10076996114,acdvd,nadvd,SPANISH DVD TAMBIEN,01-02-2017 11:00
3223372,10087428560,acbk,canew,025.04 K759F 2016,01-02-2017 11:00
3144558,10086751202,acbk,nanf,641.5638 P174 2016,01-02-2017 11:00
3138717,10086796181,acdvd,nadvd,DVD COUNT D,01-02-2017 11:00
3137331,10086505012,acdvd,nadvd,DVD NIGHT O,01-02-2017 11:00
3054339,10084316297,acdvd,nadvd,DVD LEFT BE,01-02-2017 11:00
3091880,10085797628,acbk,canf,791.4375 P852R 2014,01-02-2017 11:00
3216956,10088499636,acdvd,nadvd,RUSSIAN DVD VOSKHOZ,01-02-2017 11:00
2634639,10070893416,jcbk,ncfic,J CLEMENT,01-02-2017 11:00
3161247,10087301858,jcbk,ncfic,J ROWLING,01-02-2017 11:00
3173480,10088372809,acdvd,nadvdnf,DVD 914.0456 R42A 2015,01-02-2017 11:00
2758754,10084488526,jcbk,ncrdr,ER ARNOLD,01-02-2017 11:00
3117771,10085757648,jcbk,ncrdr,ER ARNOLD,01-02-2017 11:00
3204937,10088887053,jcbk,ncnew,E PEPPA P,01-02-2017 11:00
3112274,10085990777,accd,cacd,CD 782.421642 M9729P,01-02-2017 11:00
2343452,10084488120,jcbk,ncrdr,ER ARNOLD,01-02-2017 11:00
2381386,10059255868,jcbk,ncrdr,ER ARNOLD,01-02-2017 11:00
3236391,10086291316,dcillb,swill,FAST ADD,01-02-2017 11:00
3009094,10082662668,jcbk,ncfic,J TATULLI,01-02-2017 11:00
92220,10079065925,jcbk,ncfic,J WHITE,01-02-2017 11:00
2945266,10082449769,accd,cacd,CD 782.42166 P4296P,01-02-2017 11:00
3136087,10059117027,accd,cacd,CD 782.42166 G5866R,01-02-2017 11:00
3160117,10088702096,jcbk,ccpic,E CHILD,01-02-2017 11:00
3105246,10086085833,acdvd,nadvd,FRENCH DVD GRAND B,01-02-2017 11:00
3216641,10087406855,acbk,nanf,791.4372 R797F 2016,01-02-2017 11:00
2357800,10076200434,jcbk,ncpic,E CHILD,01-02-2017 11:00
2699859,10072451833,jcbk,ccpic,E HURST,01-02-2017 11:00
1880675,10073753419,acbk,camys,MYSTERY EVANOVI 1994,01-02-2017 11:00
3172976,10088740427,accd,cacd,CD 782.42166 G7632D,01-02-2017 11:00
3023509,10083721786,accd,cacd,CD 781.542 G9316A1,01-02-2017 11:00
2381998,10083346410,jcbk,ncpic,E CHILD,01-02-2017 11:00
2985133,10081735127,acbk,camys,MYSTERY EVANOVI 2010,01-02-2017 11:00
3165074,10088676050,accd,cacd,CD 782.42166 B5329B,01-02-2017 11:00
2837116,10066894063,acdvd,nadvd,PERSIAN DVD JODAI-E,01-02-2017 11:00
3236423,10085528551,dcillb,swill,FAST ADD,01-02-2017 11:00
3054097,10084508067,accd,cacd,CD 782.42166 G5866F,01-02-2017 11:00
3213411,10087998810,acdvd,nadvd,DVD NYPD BL Season 11,01-02-2017 11:00
3024968,10087896063,accd,nabocd,CD FIC BACKMAN,01-02-2017 11:00
3023481,10083581875,acdvd,nadvd,GERMAN DVD COFFEE,01-02-2017 11:00
3215929,10088904957,jcbk,ccfic,J PEYTON,01-02-2017 11:00
2991019,10082984104,acdvd,nadvd,DVD GRAND P,01-02-2017 11:00
2851900,10076937738,acdvd,nadvd,DVD IAN FLE,01-02-2017 11:00
3194212,10087859947,acbk,nanf,641.5636 So127V 2016,01-02-2017 11:00
2730688,10074422006,jcbk,ncpic,E CHILD,01-02-2017 11:00
2336633,10089246192,acbk,nanf,153.8 D961M 2006,01-02-2017 11:00
3112037,10085664216,acdvd,nadvdnf,DVD 781.66092 M4799R 2015,01-02-2017 11:00
2153931,10080525974,jcbk,ncpic,E BUEHNER,01-02-2017 11:01
3037120,10083335850,acdvd,nadvdnf,VIETNAM DVD 780.9597 P2182S 2014,01-02-2017 11:01
3126877,10054717151,jcbk,ncnf,J910 C217L 2015,01-02-2017 11:01
3221422,10089643240,accd,cacd,CD 781.542 G3468Sr,01-02-2017 11:01
3030520,10083441294,aceq,nanf,SPL Hotspot,01-02-2017 11:01
3207577,10087420419,acbk,nanew,210 T1443 2017,01-02-2017 11:01
3105085,10085769478,acbk,nalpfic,FIC KING 2015,01-02-2017 11:01
2398907,10083497494,acdvd,nadvd,DVD TARTUFF,01-02-2017 11:01
3009989,10082784033,accd,nabocd,CD MYSTERY PENNY,01-02-2017 11:01
3104576,10059380419,acbk,nanew,330.973 R2713S 2015,01-02-2017 11:01
2774306,10076013563,acbk,nanf,641.86539 B162S 2012,01-02-2017 11:01
3203046,10087500798,acbk,nanew,FIC FARTHIN 2016,01-02-2017 11:01
2985339,10082313049,acdvd,cadvd,DVD HOBBIT,01-02-2017 11:01
2743260,10073618620,acdvd,nadvd,DVD LIE TO Season 3,01-02-2017 11:01
120993,10080819377,jcbk,ncpic,E BRIGGS,01-02-2017 11:01
2973288,10082039099,jcbk,ncpic,E PEPPA P,01-02-2017 11:01
3164239,10087094156,acbk,nafic,FIC TANNER 2016,01-02-2017 11:01
2676601,10071688880,jcbk,ccpic,E WRIGHT,01-02-2017 11:01
3196459,10087523675,acbk,canew,641.86 P225o 2016,01-02-2017 11:01
3164327,10088114060,jcdvd,ccdvd,DVD J SYLVEST v.1,01-02-2017 11:01
2919428,10080924136,jcbk,ncpic,E BEAN,01-02-2017 11:01
3069318,10084570455,acdvd,nadvd,DVD LAW AND Season 2,01-02-2017 11:01
3068358,10086031845,acdvd,cadvd,DVD CAPTIVE,01-02-2017 11:01
3199612,10087857354,acbk,nafic,FIC WARE 2016,01-02-2017 11:01
2876082,10077598992,acdvd,nadvd,SWEDISH DVD MARIA W 1-3,01-02-2017 11:01
3208100,10088349385,acbk,nanew,338.064 Sm644G 2016,01-02-2017 11:01
3084332,10085931680,acdvd,nadvd,DVD JAMAICA,01-02-2017 11:01
2419896,10074212977,acdvd,nadvd,DVD BERKELE,01-02-2017 11:01
3207617,10089643968,accd,nacd,CD 782.42166 Y38Y,01-02-2017 11:01
3221138,10087457676,acbk,canf,690.8924 Sch334Y 2016,01-02-2017 11:01
3081820,10085096831,acdvd,cadvd,DVD HOBBIT,01-02-2017 11:01
69127,10088071492,jcbk,ncpic,E KEATS,01-02-2017 11:01
3143650,10086586707,acdvd,cadvd,DVD CHAPPIE,01-02-2017 11:01
2957510,10081667254,acdvd,nadvd,DVD DEADFAL,01-02-2017 11:02
3110766,10086418109,acdvd,nadvd,DVD MISS JU,01-02-2017 11:02
2903344,10080223091,acbk,cacomic,741.5973 B8136V 2013,01-02-2017 11:02
3215294,10089941230,jcdvd,ncdvd,DVD J KUBO AN,01-02-2017 11:02
3223257,10090165563,jcbk,ncef,J/E SUTTON,01-02-2017 11:02
2688354,10072461527,acbk,nanf,909.831 B4531L 2011,01-02-2017 11:02
2685648,10088342653,jcdvd,ncdvd,DVD J CHRISTM,01-02-2017 11:02
3183534,10087378567,acbk,nanf,305.56209 V2772V 2016,01-02-2017 11:02
2653699,10087359336,acdvd,cadvd,DVD SLEEPY,01-02-2017 11:02
2990076,10082325464,acbk,canf,741.5973 B8136K 2014,01-02-2017 11:02
3067025,10086492757,jcbk,ncnew,J VALENTE,01-02-2017 11:02
3122553,10054807101,acdvd,cadvd,DVD SPY,01-02-2017 11:02
3177603,10088447593,jcbk,ncnew,J SELFORS,01-02-2017 11:02
3223559,10089636681,acdvd,nadvd,DVD SULLY,01-02-2017 11:02
2744065,10088041024,acdvd,cadvd,DVD FRIGHT,01-02-2017 11:02
3212769,10087955992,acbk,napar,372.21 P5801W 2015,01-02-2017 11:02
2732542,10074680074,acbk,nanf,822.33 H W6854V 2011,01-02-2017 11:02
3176920,10087683354,jcbk,ncnew,J CHALFOU,01-02-2017 11:02
3193097,10088042733,acdvd,cadvd,DVD LOBSTER,01-02-2017 11:02
3164847,10088639843,acbk,nanew,791.43028 Sa332S 2016,01-02-2017 11:02
3225919,10087463484,acdvd,nadvd,DVD SKIPTRA,01-02-2017 11:02
2467806,10060749297,jcbk,ncnf,J909.8 B3266S 2005,01-02-2017 11:02
3147042,10086612487,acdvd,cadvd,DVD DRAGON,01-02-2017 11:02
3180781,10087108956,jcdvd,ncdvd,DVD J ZOOTOPI,01-02-2017 11:02
3097237,10085456902,acdvd,cadvd,DVD EIGER S,01-02-2017 11:02
3165190,10088758858,jcbk,ncnew,J MESSNER,01-02-2017 11:02
3138732,10086552402,acdvd,cadvd,DVD ROAR,01-02-2017 11:02
2218043,10084442358,acdvd,nadvd,DVD SWEET C,01-02-2017 11:02
2434791,10086520086,acdvd,cadvd,DVD DIRTY D,01-02-2017 11:02
3223520,10089992423,acdvd,nadvd,DVD GOAT,01-02-2017 11:02
2915666,10086589503,jcbk,ncfic,J BROWN,01-02-2017 11:02
3207417,10088904452,jcbk,ncfic,J PATTERS,01-02-2017 11:02
3225889,10089635386,acdvd,nadvd,DVD BARNEY,01-02-2017 11:02
3122631,10059290212,jcbk,ncnew,J TRUE HE,01-02-2017 11:02
3078121,10085077682,acdvd,cadvd,DVD SON OF,01-02-2017 11:02
3225909,10089641491,acdvd,nadvd,DVD MR CHUR,01-02-2017 11:02
3042753,10083460229,acdvd,cadvd,DVD EXPENDA,01-02-2017 11:02
2862147,10078289187,acbk,nanf,823.912 T577H 2012,01-02-2017 11:02
3144742,10089224660,acdvd,cadvd,DVD STRAIGH,01-02-2017 11:02
3144435,10088451892,jcbk,ncfic,J PENNYPA,01-02-2017 11:02
3216335,10089645211,acdvd,nadvd,DVD MAGNIFI,01-02-2017 11:02
3209551,10088287494,jcbk,ncfic,J TARSHIS,01-02-2017 11:02
3180226,10088462709,jcbk,ncnew,J CIRRONE,01-02-2017 11:02
2945464,10081668658,accd,cacdnf,CD 152.41 J6376L 2013,01-02-2017 11:02
3086181,10085643681,acbk,cafic,FIC SINGH 2009,01-02-2017 11:02
3176467,10087263256,acdvd,cadvd,DVD RISEN,01-02-2017 11:02
3223515,10089642069,acdvd,nadvd,DVD EQUITY,01-02-2017 11:02
3008656,10083214204,acbk,canf,741.5973 St281B 2014,01-02-2017 11:02
2726079,10059214519,acbk,nccomic,741.59493 H422A5 2009,01-02-2017 11:02
3225908,10089641640,acdvd,nadvd,DVD MORGAN,01-02-2017 11:02
3223531,10087399415,acdvd,nadvd,DVD MAXIMUM,01-02-2017 11:03
2876623,10078311361,acbk,nycomic,YA 576.82092 D259B 2013,01-02-2017 11:03
3090755,10086282570,acdvd,nadvdnf,DVD 613.71 K555 2015,01-02-2017 11:03
2641155,10081476599,acbk,nafic,FIC GASKELL 2008,01-02-2017 11:03
2743159,10075203975,acbk,canf,158.1 D882P 2012,01-02-2017 11:03
3223528,10089992480,acdvd,nadvd,DVD IT HAD,01-02-2017 11:03
3183534,10086945564,acbk,nanf,305.56209 V2772V 2016,01-02-2017 11:03
3027283,10083817360,acdvd,cadvd,DVD ROVER,01-02-2017 11:03
36820,100534288,acbk,canf,811 Sn92T,01-02-2017 11:03
2969579,10081240987,acdvd,cadvd,DVD RUSH,01-02-2017 11:03
3210846,10087399878,acdvd,nadvd,FRENCH DVD MICROBE,01-02-2017 11:03
2796206,10067077239,acdvd,cadvd,DVD EXTREME,01-02-2017 11:04
3161026,10088117006,acbk,nanf,641.578 D435A 2016,01-02-2017 11:04
3002433,10083694769,acdvd,nadvd,DVD GRAND B,01-02-2017 11:04
2838919,10077009305,acdvd,nadvd,DVD ENGLISH,01-02-2017 11:04
2941992,10087993092,jcdvd,nadvd,DVD WATSONS,01-02-2017 11:04
3226918,10088529671,accd,cacd,CD 782.21723 G7671T,01-02-2017 11:04
3140411,10089041411,acdvd,nadvd,DVD VISIT,01-02-2017 11:04
3167795,10087774096,acdvd,nadvd,DVD EISENST,01-02-2017 11:04
3178321,10087636584,acdvd,nadvd,DVD RITZ,01-02-2017 11:04
2517865,10088419287,jcdvd,ncdvd,DVD J TEEN TI,01-02-2017 11:04
8911,10015276230,acbk,cafic,FIC TYLER,01-02-2017 11:04
2761540,10063072317,acdvd,nadvd,DVD ALFRED Season 5,01-02-2017 11:04
3166106,10087868716,acdvd,nadvd,DVD KRAMPUS,01-02-2017 11:04
2674415,10085223625,acbk,nyfic,YA ASHER,01-02-2017 11:04
2882330,10077602752,acdvd,nadvd,DVD ODD LIF,01-02-2017 11:04
3210703,10087553110,acdvd,nadvd,DVD AMERICA,01-02-2017 11:04
3229100,10088529333,acbk,nanf,782.42166 B679P 2016,01-02-2017 11:04
3215694,10087992706,accd,cacd,CD 782.21723 Oa41C,01-02-2017 11:04
3172226,10088700637,acbk,nanf,641.5 F3911H 2016,01-02-2017 11:04
2278895,10082210427,accd,nacd,CD 782.21723 B237B,01-02-2017 11:04
2134594,10066889295,acdvd,nadvd,DVD SUDDEN,01-02-2017 11:04
3146220,10088686760,acdvd,nadvd,DVD JAMES W,01-02-2017 11:04
2875214,10087250923,jcdvd,ncdvd,DVD J MONSTER,01-02-2017 11:04
3054592,10083868017,acdvd,nadvdnf,DVD 796.52209 K1 2014,01-02-2017 11:04
2332054,10059339456,acdvd,nadvd,DVD RED EYE,01-02-2017 11:04
3146377,10059146869,acbk,cafic,FIC AUSTEN 2014,01-02-2017 11:05
2073907,10051494267,jcbk,ncpic,E LIN,01-02-2017 11:05
2983009,10081950759,acdvd,nadvd,DVD DORIAN,01-02-2017 11:05
2545521,10063446602,acbk,cafic,FIC AHERN2009,01-02-2017 11:05
2689873,10073061557,jcbk,ncnf,J709.73 F4946T 2010,01-02-2017 11:05
3032422,10083134568,acdvd,nadvd,DVD C S FOR,01-02-2017 11:05
2217640,10077583051,acdvd,nadvd,DVD MICHAEL,01-02-2017 11:05
2145514,10056965519,jcbk,ncnf,J759.13 P7653G 2002,01-02-2017 11:05
3222345,10087427182,accd,cabocd,CD SCI-FIC STIRLIN,01-02-2017 11:05
3162706,10089022536,acdvd,nadvd,DVD COMEBAC,01-02-2017 11:05
3084354,10085781853,acdvd,nadvd,DVD WHAT WE,01-02-2017 11:05
2517749,10064099756,acbk,nanf,241.4 Sm78C 2008,01-02-2017 11:05
2814779,10076844793,acdvd,nadvd,DVD HOMELAN Season 1,01-02-2017 11:05
3212218,10088153688,acbk,nalpfic,MYSTERY COBEN 2016,01-02-2017 11:05
3206725,10087914437,acbk,nafic,FIC WOODSON 2016,01-02-2017 11:05
1632548,10073138074,acbk,cafic,FIC AUSTEN1992,01-02-2017 11:05
3177840,10087011770,acbk,nafic,FIC WHITEHE 2016,01-02-2017 11:05
2907181,10080413346,acbk,nanf,701 F876A 2003,01-02-2017 11:05
2903099,10079807003,jcbk,ncnf,J702.8 W489T 2013,01-02-2017 11:05
3163414,10087911797,acbk,canf,322.42092 H3514T 2016,01-02-2017 11:05
2926821,10081198318,acbk,nanf,641.56383 Sa575T 2013,01-02-2017 11:06
2608087,10070412498,acbk,nanf,979.5 M4599L 2009,01-02-2017 11:06
2857366,10076676591,acbk,nasf,SCI-FIC LEGUIN 2012,01-02-2017 11:06
3081371,10085102654,acdvd,nadvd,DVD BIG EYE,01-02-2017 11:06
3062097,10086334835,acbk,nanf,153.8 G7959C 2015,01-02-2017 11:06
3214326,10086820205,acbk,nanf,613.04244 Si329H 2015,01-02-2017 11:06
3172339,10089280456,acbk,nasf,SCI-FIC COREY 2016,01-02-2017 11:06
2945568,10080818825,acbk,canf,613.28332 Sa575T 2013,01-02-2017 11:06
2620733,10070394365,acbk,nanf,336.34097 B6434N 2009,01-02-2017 11:06
3078669,10085093424,acbk,canf,814.54 M3141M 2015,01-02-2017 11:06
2980485,10082246264,acdvd,nadvd,DVD ABOUT T,01-02-2017 11:06
2971301,10081675489,acbk,canf,641.5636 L9789A 2012,01-02-2017 11:06
2334762,10088651673,jcbk,nccomic,J741.5952 M6994H03 2005,01-02-2017 11:07
3214578,10087988449,accd,nacd,CD 782.42166 L7868S,01-02-2017 11:07
3160217,10087792452,acbk,nanf,158.1 D8585G 2016,01-02-2017 11:07
3132409,10059364306,acbk,casf,SCI-FIC CHRISTO 2015,01-02-2017 11:07
3215610,10089278716,acbk,canf,004.1675 B149i 2017,01-02-2017 11:07
3035275,10084289858,acdvd,nadvd,DVD GIVER,01-02-2017 11:07
3177843,10087488200,acbk,nafic,FIC TYLER 2016,01-02-2017 11:07
3208158,10088874697,acbk,namys,MYSTERY FLUKE 2016,01-02-2017 11:07
3203311,10088144463,acbk,nafic,FIC SZALAY 2016,01-02-2017 11:07
2375900,10086475430,jcbk,nccomic,J741.5973 H73Br 2006,01-02-2017 11:07
2928412,10081748021,accd,cacd,CD 782.42166 Is17W,01-02-2017 11:07
2333563,10088377493,jcbk,nccomic,J741.5952 M6994H01 2005,01-02-2017 11:07
1319219,10037079794,jcbk,ncser,J PORTER1993,01-02-2017 11:07
3209531,10088820740,acbk,nanew,FIC HARDING 2016,01-02-2017 11:07
2334763,10088394993,jcbk,nccomic,J741.5952 M6994H04 2005,01-02-2017 11:07
3165226,10088369102,acbk,canf,643.12 Sco847D 2016,01-02-2017 11:07
2561657,10068784635,acbk,nanf,332.66097 T293F 2009,01-02-2017 11:07
2739525,10086417663,jcbk,nccomic,J741.5973 J683W01 2011,01-02-2017 11:07
3215872,10088802888,acbk,nalpfic,MYSTERY FRANCIS 2016,01-02-2017 11:07
2232386,10050676294,acbk,canf,747 D4605 2004,01-02-2017 11:07
3155260,10087472634,jcbk,ncrdr,ER HALE,01-02-2017 11:07
2617596,10059192376,jcbk,ncrdr,ER WILLEMS,01-02-2017 11:07
2591972,10084009413,jcbk,ncrdr,ER WILLEMS,01-02-2017 11:07
137097,10089951080,jcbk,ncrdr,ER SEUSS,01-02-2017 11:07
2493836,10071315419,acdvd,nadvd,DVD I WANT,01-02-2017 11:07
2905966,10081342825,acbk,nalpfic,MYSTERY CONNELL 2013,01-02-2017 11:07
3140536,10089511074,acbk,nafic,FIC JILES 2016,01-02-2017 11:07
2629692,10059349018,jcbk,ncrdr,ER WILLEMS,01-02-2017 11:07
3037240,10083448455,acdvd,nadvd,DVD ARCHIPE,01-02-2017 11:07
2647002,10070906093,acbk,nanf,330.973 F66383G 2010,01-02-2017 11:07
2772437,10059021971,jcbk,nccomic,J741.5973 J683W03 2012,01-02-2017 11:07
3218953,10086922407,acbk,nanew,745.546 Z617P 2016,01-02-2017 11:07
3190765,10088724355,accd,nacdnf,CD 355.07097 R53G 2016,01-02-2017 11:07
3171294,10087057575,jcbk,ncnew,J GRAFF,01-02-2017 11:07
3037374,10083571090,acbk,naover,720.92 W9319W 2014,01-02-2017 11:07
2627270,10087601562,jcbk,nccomic,J741.5952 M6994P02 2009,01-02-2017 11:07
3212821,10086869459,accd,cacd,CD 782.42166 M2291W,01-02-2017 11:07
3123911,10089117583,acbk,nafic,FIC MCKENZI 2016,01-02-2017 11:07
2333561,10086262077,jcbk,nccomic,J741.5952 M6994H02 2005,01-02-2017 11:07
2773811,10075105873,acbk,nanf,947.0862 P982G 2012,01-02-2017 11:07
3002445,10082570945,acdvd,nadvd,DVD LONE SU,01-02-2017 11:07
2991317,10081765462,jcbk,ncfic,J CLEARY,01-02-2017 11:07
3135871,10059058734,acbk,nanf,796.019 F5766H 2015,01-02-2017 11:08
1378712,10085104874,jcbk,ccfic,J CREECH,01-02-2017 11:08
1284979,10025114538,acbk,canf,781.6609 ROLLING 1992,01-02-2017 11:08
2983050,10082010892,acdvd,nadvd,DVD ZARDOZ,01-02-2017 11:08
3146167,10088986582,acdvd,nadvd,DVD DOCTOR Season 9B,01-02-2017 11:08
2086683,10087705819,jcbk,ncenf,J793.73 M3699i 2001,01-02-2017 11:08
2857028,10076982502,acdvd,nadvd,DVD FLASH G,01-02-2017 11:08
3086120,10086303871,acdvd,nadvd,DVD VOICES,01-02-2017 11:08
2489008,10079388087,jcbk,ncpic,E WELLS,01-02-2017 11:08
2983377,10081941600,acbk,canf,508.8665 N5148G 2014,01-02-2017 11:08
3115963,10085158821,acdvd,nadvd,DVD JUSTICE,01-02-2017 11:08
3097038,10085657970,jcbk,ncef,J/E KING-SM,01-02-2017 11:08
2278283,10089410210,accd,cabocd,CD FIC STEINBE,01-02-2017 11:08
3115264,10052411302,jcbk,ncpic,E JOHNSON,01-02-2017 11:08
2875096,10078305280,acdvd,nadvdnf,DVD 917.5941 D6314D 2012,01-02-2017 11:08
3221135,10087456983,acbk,nanf,641.563 H259W 2016,01-02-2017 11:08
3035168,10083189448,acbk,canf,641.563 C5802 2014,01-02-2017 11:08
2875098,10078065678,acdvd,nadvdnf,DVD 917.8752 D6314Y 2012,01-02-2017 11:08
3101394,10085529005,acdvd,nadvdnf,DVD 306.76084 B3937 2014,01-02-2017 11:08
3054490,10084566719,acbk,canf,128 Od58E 2002,01-02-2017 11:08
2515687,10088047542,jcbk,ncpic,E ELLIOTT,01-02-2017 11:08
3046708,10084325058,jcbk,ncenf,J973.3092 L9665R 2015,01-02-2017 11:08
2967207,10082155416,jcbk,ncpic,E SIERRA,01-02-2017 11:08
2830696,10078103016,acbk,nafic,FIC KINGSOL 2012,01-02-2017 11:08
3160546,10089201155,acdvd,nadvd,DVD TABU,01-02-2017 11:08
2669082,10071924251,jcbk,ncfic,J HUNTER,01-02-2017 11:08
3163469,10087585492,acbk,canew,613.2 V247E 2016,01-02-2017 11:08
3036913,10083570571,jcbk,ncenf,JB W315M 2014,01-02-2017 11:08
3199663,10087520044,acbk,nanf,641.563 T9186 2014,01-02-2017 11:08
2929808,10080545303,acbk,nafic,FIC COLLINS 2008,01-02-2017 11:08
2874136,10080264731,acdvd,nadvd,DVD GIRL,01-02-2017 11:08
2845861,10076634582,jcbk,ncpic,E HEST,01-02-2017 11:08
2906093,10079249347,jcbk,ncfic,J URSU,01-02-2017 11:09
2965205,10087438064,jcbk,cccomic,J741.5973 H73B18 2014,01-02-2017 11:09
2723790,10088193163,jcbk,cccomic,J741.5973 H73B15 2011,01-02-2017 11:09
2758821,10073838095,acbk,nanf,332.024 P161M 2012,01-02-2017 11:09
3065170,10084104719,acbk,nycomic,YA 741.5973 R828C01 2014,01-02-2017 11:09
2614765,10087437868,jcbk,cccomic,J741.5973 H73B12 2010,01-02-2017 11:09
2796291,10078402012,jcbk,cccomic,J741.5973 H73B16 2012,01-02-2017 11:09
2666810,10087438841,jcbk,cccomic,J741.5973 H73B13 2010,01-02-2017 11:09
2750627,10076539377,acbk,nanf,332.024 V284A 2012,01-02-2017 11:09
3175100,10088950075,acbk,nanf,781.66097 Un21 2016,01-02-2017 11:09
2503282,10081797234,jcbk,ncfic,J BUCKLEY,01-02-2017 11:09
3065580,10084513836,accd,nacd,CD 782.42165 Su716i,01-02-2017 11:09
3082371,10086323788,jcbk,cccomic,J741.5973 H73B19 2015,01-02-2017 11:09
2842623,10086904256,jcbk,cccomic,J741.5973 H73B17 2013,01-02-2017 11:09
2558369,10067859610,accd,nacd,CD 782.421649 M85E,01-02-2017 11:09
2400089,10073794165,jcbk,cccomic,J741.5973 H73B05 2006,01-02-2017 11:10
2704789,10086656179,accd,cacd,CD 782.421649 Sn54D,01-02-2017 11:10
3140400,10089226152,acdvd,cadvd,DVD NINETY-,01-02-2017 11:10
